Post;Huishouden;Woonsituatie;Inkomen;Jaar;Bedrag;Percentage inkomen
TOTAAL INKOMEN;Alleenstaand;gemiddelde huur;1;2019;;0
TOTAAL UITGAVEN;Alleenstaand;gemiddelde huur;1;2019;1.059;0
 huur/hypotheek;Alleenstaand;gemiddelde huur;1;2019;229;0,215882908
 gas;Alleenstaand;gemiddelde huur;1;2019;78;0,073937677
 elektriciteit;Alleenstaand;gemiddelde huur;1;2019;32;0,030594901
 water;Alleenstaand;gemiddelde huur;1;2019;9;0,00870255
 lokale lasten;Alleenstaand;gemiddelde huur;1;2019;44;0,041155178
 telefoon, televisie, internet;Alleenstaand;gemiddelde huur;1;2019;55;0,051935788
 verzekeringen;Alleenstaand;gemiddelde huur;1;2019;170;0,160560277
 onderwijs;Alleenstaand;gemiddelde huur;1;2019;0;0
 kinderopvang;Alleenstaand;gemiddelde huur;1;2019;0;0
 contributies en abonnementen;Alleenstaand;gemiddelde huur;1;2019;2;0,001463645
 vervoer;Alleenstaand;gemiddelde huur;1;2019;16;0,015505194
VASTE LASTEN;Alleenstaand;gemiddelde huur;1;2019;635;0,599738118
 kleding en schoenen;Alleenstaand;gemiddelde huur;1;2019;53;0,049575071
 inventaris;Alleenstaand;gemiddelde huur;1;2019;65;0,061467579
 onderhoud huis en tuin;Alleenstaand;gemiddelde huur;1;2019;23;0,021822871
 niet-vergoede ziektekosten;Alleenstaand;gemiddelde huur;1;2019;38;0,036103242
 vrijetijdsuitgaven;Alleenstaand;gemiddelde huur;1;2019;0;0
RESERVERINGSUITGAVEN;Alleenstaand;gemiddelde huur;1;2019;179;0,168968763
 voeding;Alleenstaand;gemiddelde huur;1;2019;214;0,202077432
 overige huishoudelijke uitgaven;Alleenstaand;gemiddelde huur;1;2019;30;0,028696884
HUISHOUDELIJKE UITGAVEN;Alleenstaand;gemiddelde huur;1;2019;244;0,230774315
OVERSCHOT/TEKORT;Alleenstaand;gemiddelde huur;1;2019;;0
wit1;Alleenstaand;gemiddelde huur;1;2019;;0
wit2;Alleenstaand;gemiddelde huur;1;2019;;0
wit3;Alleenstaand;gemiddelde huur;1;2019;;0
wit4;Alleenstaand;gemiddelde huur;1;2019;;0
TOTAAL INKOMEN;Alleenstaand;gemiddelde huur;2;2019;;0
TOTAAL UITGAVEN;Alleenstaand;gemiddelde huur;2;2019;1.152;0
 huur/hypotheek;Alleenstaand;gemiddelde huur;2;2019;229;0,198454861
 gas;Alleenstaand;gemiddelde huur;2;2019;78;0,06796875
 elektriciteit;Alleenstaand;gemiddelde huur;2;2019;32;0,028125
 water;Alleenstaand;gemiddelde huur;2;2019;9;0,008
 lokale lasten;Alleenstaand;gemiddelde huur;2;2019;44;0,037832755
 telefoon, televisie, internet;Alleenstaand;gemiddelde huur;2;2019;55;0,047743056
 verzekeringen;Alleenstaand;gemiddelde huur;2;2019;170;0,14759838
 onderwijs;Alleenstaand;gemiddelde huur;2;2019;0;0
 kinderopvang;Alleenstaand;gemiddelde huur;2;2019;0;0
 contributies en abonnementen;Alleenstaand;gemiddelde huur;2;2019;21;0,018342014
 vervoer;Alleenstaand;gemiddelde huur;2;2019;24;0,020894097
VASTE LASTEN;Alleenstaand;gemiddelde huur;2;2019;662;0,574958912
 kleding en schoenen;Alleenstaand;gemiddelde huur;2;2019;53;0,045572917
 inventaris;Alleenstaand;gemiddelde huur;2;2019;65;0,056505353
 onderhoud huis en tuin;Alleenstaand;gemiddelde huur;2;2019;23;0,020061128
 niet-vergoede ziektekosten;Alleenstaand;gemiddelde huur;2;2019;38;0,033188657
 vrijetijdsuitgaven;Alleenstaand;gemiddelde huur;2;2019;40;0,035
RESERVERINGSUITGAVEN;Alleenstaand;gemiddelde huur;2;2019;219;0,190328056
 voeding;Alleenstaand;gemiddelde huur;2;2019;214;0,185763889
 overige huishoudelijke uitgaven;Alleenstaand;gemiddelde huur;2;2019;56;0,048880208
HUISHOUDELIJKE UITGAVEN;Alleenstaand;gemiddelde huur;2;2019;270;0,234644097
OVERSCHOT/TEKORT;Alleenstaand;gemiddelde huur;2;2019;;0
wit1;Alleenstaand;gemiddelde huur;2;2019;;0
wit2;Alleenstaand;gemiddelde huur;2;2019;;0
wit3;Alleenstaand;gemiddelde huur;2;2019;;0
wit4;Alleenstaand;gemiddelde huur;2;2019;;0
TOTAAL INKOMEN;Alleenstaand;gemiddelde huur;1500;2019;1.500;0
TOTAAL UITGAVEN;Alleenstaand;gemiddelde huur;1500;2019;1.500;0
 huur/hypotheek;Alleenstaand;gemiddelde huur;1500;2019;520;0,346666667
 gas;Alleenstaand;gemiddelde huur;1500;2019;79;0,052886945
 elektriciteit;Alleenstaand;gemiddelde huur;1500;2019;33;0,021884253
 water;Alleenstaand;gemiddelde huur;1500;2019;9;0,006224854
 lokale lasten;Alleenstaand;gemiddelde huur;1500;2019;44;0,029055556
 telefoon, televisie, internet;Alleenstaand;gemiddelde huur;1500;2019;57;0,037934514
 verzekeringen;Alleenstaand;gemiddelde huur;1500;2019;171;0,114248584
 onderwijs;Alleenstaand;gemiddelde huur;1500;2019;0;0
 kinderopvang;Alleenstaand;gemiddelde huur;1500;2019;0;0
 contributies en abonnementen;Alleenstaand;gemiddelde huur;1500;2019;24;0,01616882
 vervoer;Alleenstaand;gemiddelde huur;1500;2019;42;0,028280599
VASTE LASTEN;Alleenstaand;gemiddelde huur;1500;2019;980;0,65335079
 kleding en schoenen;Alleenstaand;gemiddelde huur;1500;2019;55;0,036446313
 inventaris;Alleenstaand;gemiddelde huur;1500;2019;66;0,044016783
 onderhoud huis en tuin;Alleenstaand;gemiddelde huur;1500;2019;23;0,015423195
 niet-vergoede ziektekosten;Alleenstaand;gemiddelde huur;1500;2019;38;0,025488889
 vrijetijdsuitgaven;Alleenstaand;gemiddelde huur;1500;2019;60;0,040038342
RESERVERINGSUITGAVEN;Alleenstaand;gemiddelde huur;1500;2019;242;0,161413521
 voeding;Alleenstaand;gemiddelde huur;1500;2019;214;0,142666667
 overige huishoudelijke uitgaven;Alleenstaand;gemiddelde huur;1500;2019;64;0,042745146
HUISHOUDELIJKE UITGAVEN;Alleenstaand;gemiddelde huur;1500;2019;278;0,185411812
OVERSCHOT/TEKORT;Alleenstaand;gemiddelde huur;1500;2019;0;0
wit1;Alleenstaand;gemiddelde huur;1500;2019;;0
wit2;Alleenstaand;gemiddelde huur;1500;2019;;0
wit3;Alleenstaand;gemiddelde huur;1500;2019;;0
wit4;Alleenstaand;gemiddelde huur;1500;2019;;0
TOTAAL INKOMEN;Alleenstaand;gemiddelde huur;1750;2019;1.750;0
TOTAAL UITGAVEN;Alleenstaand;gemiddelde huur;1750;2019;1.750;0
 huur/hypotheek;Alleenstaand;gemiddelde huur;1750;2019;551;0,314857143
 gas;Alleenstaand;gemiddelde huur;1750;2019;83;0,047169998
 elektriciteit;Alleenstaand;gemiddelde huur;1750;2019;34;0,01951862
 water;Alleenstaand;gemiddelde huur;1750;2019;10;0,005551963
 lokale lasten;Alleenstaand;gemiddelde huur;1750;2019;44;0,024904762
 telefoon, televisie, internet;Alleenstaand;gemiddelde huur;1750;2019;63;0,036117418
 verzekeringen;Alleenstaand;gemiddelde huur;1750;2019;177;0,101179939
 onderwijs;Alleenstaand;gemiddelde huur;1750;2019;0;0
 kinderopvang;Alleenstaand;gemiddelde huur;1750;2019;0;0
 contributies en abonnementen;Alleenstaand;gemiddelde huur;1750;2019;36;0,020756198
 vervoer;Alleenstaand;gemiddelde huur;1750;2019;112;0,063884515
VASTE LASTEN;Alleenstaand;gemiddelde huur;1750;2019;1.109;0,633940555
 kleding en schoenen;Alleenstaand;gemiddelde huur;1750;2019;65;0,036922021
 inventaris;Alleenstaand;gemiddelde huur;1750;2019;71;0,040811396
 onderhoud huis en tuin;Alleenstaand;gemiddelde huur;1750;2019;24;0,0136811
 niet-vergoede ziektekosten;Alleenstaand;gemiddelde huur;1750;2019;38;0,021847619
 vrijetijdsuitgaven;Alleenstaand;gemiddelde huur;1750;2019;137;0,078549852
RESERVERINGSUITGAVEN;Alleenstaand;gemiddelde huur;1750;2019;336;0,191811988
 voeding;Alleenstaand;gemiddelde huur;1750;2019;214;0,122285714
 overige huishoudelijke uitgaven;Alleenstaand;gemiddelde huur;1750;2019;91;0,052102577
HUISHOUDELIJKE UITGAVEN;Alleenstaand;gemiddelde huur;1750;2019;305;0,174388291
OVERSCHOT/TEKORT;Alleenstaand;gemiddelde huur;1750;2019;0;0
wit1;Alleenstaand;gemiddelde huur;1750;2019;;0
wit2;Alleenstaand;gemiddelde huur;1750;2019;;0
wit3;Alleenstaand;gemiddelde huur;1750;2019;;0
wit4;Alleenstaand;gemiddelde huur;1750;2019;;0
TOTAAL INKOMEN;Alleenstaand;gemiddelde huur;2000;2019;2.000;0
TOTAAL UITGAVEN;Alleenstaand;gemiddelde huur;2000;2019;2.000;0
 huur/hypotheek;Alleenstaand;gemiddelde huur;2000;2019;555;0,2775
 gas;Alleenstaand;gemiddelde huur;2000;2019;85;0,04265836
 elektriciteit;Alleenstaand;gemiddelde huur;2000;2019;35;0,017651735
 water;Alleenstaand;gemiddelde huur;2000;2019;10;0,005020938
 lokale lasten;Alleenstaand;gemiddelde huur;2000;2019;44;0,021791667
 telefoon, televisie, internet;Alleenstaand;gemiddelde huur;2000;2019;69;0,034580031
 verzekeringen;Alleenstaand;gemiddelde huur;2000;2019;184;0,092071696
 onderwijs;Alleenstaand;gemiddelde huur;2000;2019;0;0
 kinderopvang;Alleenstaand;gemiddelde huur;2000;2019;0;0
 contributies en abonnementen;Alleenstaand;gemiddelde huur;2000;2019;50;0,025029926
 vervoer;Alleenstaand;gemiddelde huur;2000;2019;189;0,094477419
VASTE LASTEN;Alleenstaand;gemiddelde huur;2000;2019;1.222;0,610781771
 kleding en schoenen;Alleenstaand;gemiddelde huur;2000;2019;78;0,038788732
 inventaris;Alleenstaand;gemiddelde huur;2000;2019;80;0,039793647
 onderhoud huis en tuin;Alleenstaand;gemiddelde huur;2000;2019;26;0,012846926
 niet-vergoede ziektekosten;Alleenstaand;gemiddelde huur;2000;2019;38;0,019116667
 vrijetijdsuitgaven;Alleenstaand;gemiddelde huur;2000;2019;225;0,112614311
RESERVERINGSUITGAVEN;Alleenstaand;gemiddelde huur;2000;2019;446;0,223160284
 voeding;Alleenstaand;gemiddelde huur;2000;2019;214;0,107
 overige huishoudelijke uitgaven;Alleenstaand;gemiddelde huur;2000;2019;118;0,059174545
HUISHOUDELIJKE UITGAVEN;Alleenstaand;gemiddelde huur;2000;2019;332;0,166174545
OVERSCHOT/TEKORT;Alleenstaand;gemiddelde huur;2000;2019;0;0
wit1;Alleenstaand;gemiddelde huur;2000;2019;;0
wit2;Alleenstaand;gemiddelde huur;2000;2019;;0
wit3;Alleenstaand;gemiddelde huur;2000;2019;;0
wit4;Alleenstaand;gemiddelde huur;2000;2019;;0
TOTAAL INKOMEN;Alleenstaand;gemiddelde huur;2250;2019;2.250;0
TOTAAL UITGAVEN;Alleenstaand;gemiddelde huur;2250;2019;2.235;0
 huur/hypotheek;Alleenstaand;gemiddelde huur;2250;2019;579;0,257333333
 gas;Alleenstaand;gemiddelde huur;2250;2019;87;0,038666667
 elektriciteit;Alleenstaand;gemiddelde huur;2250;2019;36;0,016
 water;Alleenstaand;gemiddelde huur;2250;2019;10;0,004551111
